what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.net,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.commons.net",1287497957570
started,bundle,org.eclipse.mylyn.commons.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.commons.ui",1287497957586
started,bundle,org.eclipse.mylyn.context.core,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.core",1287497957586
started,bundle,org.eclipse.mylyn.context.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.ui",1287497957586
started,bundle,org.eclipse.pde.ui,3.5.1.v201001121200,"org.eclipse.pde.ui",1287497957586
started,bundle,org.eclipse.team.core,3.5.1.r35x_20100113-0800,"org.eclipse.team.core",1287497957586
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1287497957586
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1287497957601
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1287497957601
started,bundle,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui",1287497957601
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1287497957601
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1287497957601
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1287497957601
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1287497957617
started,bundle,org.eclipse.ui.navigator,3.4.2.M20100120-0800,"org.eclipse.ui.navigator",1287497957617
started,bundle,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.resources",1287497957617
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1287497957633
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1287497957633
started,bundle,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.ui.views.log",1287497957633
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1287497957633
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1287497957633
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1287497957633
started,bundle,org.eclipse.wst.common.emf,1.1.301.v200908181930,"org.eclipse.wst.common.emf",1287497957648
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.301.v200908101600,"org.eclipse.wst.common.emfworkbench.integration",1287497957648
started,bundle,org.eclipse.wst.common.frameworks,1.1.300.v200904160730,"org.eclipse.wst.common.frameworks",1287497957648
started,bundle,org.eclipse.wst.common.frameworks.ui,1.1.301.v200908101600,"org.eclipse.wst.common.frameworks.ui",1287497957648
started,bundle,org.eclipse.wst.common.modulecore,1.1.301.v201001252130,"org.eclipse.wst.common.modulecore",1287497957648
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200911141735,"org.eclipse.wst.common.project.facet.core",1287497957648
started,bundle,org.eclipse.wst.jsdt.core,1.0.201.v2010012803,"org.eclipse.wst.jsdt.core",1287497957664
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.100.v200809240707,"org.eclipse.wst.jsdt.manipulation",1287497957664
started,bundle,org.eclipse.wst.jsdt.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.ui",1287497957664
started,bundle,org.eclipse.wst.sse.core,1.1.402.v201001251516,"org.eclipse.wst.sse.core",1287497957679
started,bundle,org.eclipse.wst.validation,1.2.104.v200911120201,"org.eclipse.wst.validation",1287497957679
started,bundle,org.eclipse.wst.web,1.1.301.v200911302230,"org.eclipse.wst.web",1287497957679
started,bundle,org.eclipse.wst.xml.core,1.1.402.v201001222130,"org.eclipse.wst.xml.core",1287497957679
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.101.R35x_v20090807-1100,"org.eclipse.equinox.simpleconfigurator",1287497957695
os,sysinfo,,,"win32",1287497957695
arch,sysinfo,,,"x86",1287497957695
ws,sysinfo,,,"win32",1287497957695
locale,sysinfo,,,"en_US",1287497957695
processors,sysinfo,,,"2",1287497957695
java.runtime.name,sysinfo,,,"Java(TM) 2 Runtime Environment, Standard Edition",1287497957695
java.runtime.version,sysinfo,,,"1.5.0-beta2-b51",1287497957695
java.specification.name,sysinfo,,,"Java Platform API Specification",1287497957695
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1287497957695
java.specification.version,sysinfo,,,"1.5",1287497957695
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1287497957695
java.version,sysinfo,,,"1.5.0-beta2",1287497957695
java.vm.info,sysinfo,,,"mixed mode",1287497957695
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1287497957695
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1287497957695
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1287497957695
java.vm.specification.version,sysinfo,,,"1.0",1287497957695
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1287497957695
java.vm.version,sysinfo,,,"1.5.0-beta2-b51",1287497957695
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1287497957742
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1287497957742
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.monitor.ui",1287497957789
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1287497958492
started,bundle,org.eclipse.jst.servlet.ui,1.1.301.v200908101600,"org.eclipse.jst.servlet.ui",1287497958554
started,bundle,org.eclipse.wst.ws.service.policy,1.0.103.v200905151848,"org.eclipse.wst.ws.service.policy",1287497970164
started,bundle,org.eclipse.wst.command.env,1.0.408.v200903110045,"org.eclipse.wst.command.env",1287497970195
started,bundle,org.eclipse.wst.ws,1.1.103.v200903111822,"org.eclipse.wst.ws",1287497970195
started,bundle,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare",1287497970398
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287497980070
no handler,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1287498030148
no handler,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1287498031320
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287498032804
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287498042773
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287498043351
error,log,,,"Could not write: Z:\\adv java\\.metadata\\.mylyn\\repositories.xml.zip",1287498047694
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287498054148
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1287498066632
started,bundle,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui",1287498067226
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1287498067304
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287498091444
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287498098960
started,bundle,org.eclipse.datatools.enablement.jdt.classpath,1.0.1.v200909240342,"org.eclipse.datatools.enablement.jdt.classpath",1287498107272
started,bundle,org.eclipse.datatools.connectivity,1.1.3.v201001230803,"org.eclipse.datatools.connectivity",1287498107600
started,bundle,org.eclipse.datatools.connectivity.ui,1.1.5.v201001190218,"org.eclipse.datatools.connectivity.ui",1287498107616
started,bundle,org.eclipse.datatools.connectivity.apache.derby,1.0.100.v200906020900,"org.eclipse.datatools.connectivity.apache.derby",1287498107882
started,bundle,org.eclipse.datatools.enablement.msft.sqlserver,1.0.1.v201001180222,"org.eclipse.datatools.enablement.msft.sqlserver",1287498108038
started,bundle,org.eclipse.datatools.enablement.sqlite,1.0.0.v201002041110,"org.eclipse.datatools.enablement.sqlite",1287498108116
started,bundle,org.eclipse.datatools.enablement.sybase.asa,1.0.1.v200906020900,"org.eclipse.datatools.enablement.sybase.asa",1287498108475
started,bundle,org.eclipse.datatools.enablement.sybase.ase,1.0.1.v200906020900,"org.eclipse.datatools.enablement.sybase.ase",1287498108819
started,bundle,org.eclipse.jst.j2ee.web,1.1.301.v200911302230,"org.eclipse.jst.j2ee.web",1287498116053
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287498137803
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287498138163
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287498138381
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287498148738
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287498177385
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287498183164
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287498213780
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287498214092
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287498214452
started,bundle,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui",1287498223277
started,bundle,org.eclipse.wst.sse.ui,1.1.102.v200910200227,"org.eclipse.wst.sse.ui",1287498223293
started,bundle,org.eclipse.wst.common.uriresolver,1.1.301.v200805140415,"org.eclipse.wst.common.uriresolver",1287498223652
